subject,class_idx,class_name,epoch,critic_loss,generator_loss
4,0,Left Hand,1,-3.7861108779907227,1.4146556854248047
4,0,Left Hand,2,-38.6721715927124,2.6757999658584595
4,0,Left Hand,3,-101.60984802246094,-4.848364531993866
4,0,Left Hand,4,-170.6303253173828,-28.661941528320312
4,0,Left Hand,5,-226.24527740478516,-64.50142860412598
4,0,Left Hand,6,-265.16153717041016,-103.27649688720703
4,0,Left Hand,7,-290.32664489746094,-138.54525756835938
4,0,Left Hand,8,-302.88230895996094,-166.17716217041016
4,0,Left Hand,9,-308.4005584716797,-188.30847930908203
4,0,Left Hand,10,-308.00099182128906,-205.04235076904297
4,0,Left Hand,11,-303.9017791748047,-218.34575653076172
4,0,Left Hand,12,-297.64544677734375,-227.95852661132812
4,0,Left Hand,13,-290.19444274902344,-235.17941284179688
4,0,Left Hand,14,-282.9666290283203,-241.71292114257812
4,0,Left Hand,15,-275.78330993652344,-246.79163360595703
4,0,Left Hand,16,-268.309814453125,-249.05171966552734
4,0,Left Hand,17,-260.6394348144531,-250.26306915283203
4,0,Left Hand,18,-253.33541107177734,-250.60802459716797
4,0,Left Hand,19,-245.86090850830078,-249.05696868896484
4,0,Left Hand,20,-238.54708099365234,-246.30399322509766
4,0,Left Hand,21,-231.62506866455078,-244.26497650146484
4,0,Left Hand,22,-225.36380004882812,-243.3907928466797
4,0,Left Hand,23,-219.399658203125,-241.05277252197266
4,0,Left Hand,24,-213.39739227294922,-238.2104949951172
4,0,Left Hand,25,-207.73004913330078,-235.25858306884766
4,0,Left Hand,26,-202.3251190185547,-232.35719299316406
4,0,Left Hand,27,-197.2564697265625,-229.41751861572266
4,0,Left Hand,28,-192.4477996826172,-225.98281860351562
4,0,Left Hand,29,-187.8410873413086,-222.9282455444336
4,0,Left Hand,30,-183.38851165771484,-219.36060333251953
4,0,Left Hand,31,-179.03949737548828,-216.30038452148438
4,0,Left Hand,32,-174.84471130371094,-212.88790893554688
4,0,Left Hand,33,-170.896240234375,-210.1768798828125
4,0,Left Hand,34,-167.18585968017578,-206.7235336303711
4,0,Left Hand,35,-163.64471435546875,-202.93186950683594
4,0,Left Hand,36,-160.26202392578125,-199.7901153564453
4,0,Left Hand,37,-157.07904052734375,-196.57054138183594
4,0,Left Hand,38,-154.0752944946289,-193.3876190185547
4,0,Left Hand,39,-151.1731185913086,-189.59223175048828
4,0,Left Hand,40,-148.46001434326172,-185.61454010009766
4,0,Left Hand,41,-146.0162353515625,-181.22245025634766
4,0,Left Hand,42,-143.7690887451172,-177.04600524902344
4,0,Left Hand,43,-141.59046173095703,-171.8277816772461
4,0,Left Hand,44,-139.4935760498047,-168.0590057373047
4,0,Left Hand,45,-137.26849365234375,-164.71732330322266
4,0,Left Hand,46,-135.04985809326172,-161.94696807861328
4,0,Left Hand,47,-133.0991973876953,-159.05219268798828
4,0,Left Hand,48,-131.50716400146484,-156.24909210205078
4,0,Left Hand,49,-129.9897918701172,-152.38166046142578
4,0,Left Hand,50,-128.4176483154297,-149.1269989013672
4,0,Left Hand,51,-126.93165588378906,-144.86975860595703
4,0,Left Hand,52,-125.52164840698242,-140.8458709716797
4,0,Left Hand,53,-124.10453033447266,-136.4479751586914
4,0,Left Hand,54,-122.68431854248047,-132.89119720458984
4,0,Left Hand,55,-121.3725814819336,-130.12955474853516
4,0,Left Hand,56,-120.27874755859375,-127.69989776611328
4,0,Left Hand,57,-119.45476531982422,-124.2479476928711
4,0,Left Hand,58,-118.6991081237793,-121.10050964355469
4,0,Left Hand,59,-117.81211853027344,-117.4272689819336
4,0,Left Hand,60,-116.82837295532227,-113.84933853149414
4,0,Left Hand,61,-115.84148406982422,-110.66858673095703
4,0,Left Hand,62,-114.90022659301758,-106.54559326171875
4,0,Left Hand,63,-114.0529670715332,-103.04711532592773
4,0,Left Hand,64,-113.22586441040039,-99.60043716430664
4,0,Left Hand,65,-112.43137741088867,-96.806640625
4,0,Left Hand,66,-111.56650161743164,-93.79584503173828
4,0,Left Hand,67,-110.77293014526367,-90.54922103881836
4,0,Left Hand,68,-110.03209686279297,-87.45879745483398
4,0,Left Hand,69,-109.27416610717773,-83.7171859741211
4,0,Left Hand,70,-108.51198196411133,-80.94551849365234
4,0,Left Hand,71,-107.77339172363281,-78.41175842285156
4,0,Left Hand,72,-107.2059555053711,-75.8256607055664
4,0,Left Hand,73,-106.91473388671875,-72.56182098388672
4,0,Left Hand,74,-106.57587051391602,-69.76922988891602
4,0,Left Hand,75,-105.75016021728516,-67.13037490844727
4,0,Left Hand,76,-104.96354675292969,-65.15819549560547
4,0,Left Hand,77,-104.3685417175293,-63.326141357421875
4,0,Left Hand,78,-103.83452606201172,-60.931962966918945
4,0,Left Hand,79,-103.20699310302734,-58.3608283996582
4,0,Left Hand,80,-102.53512954711914,-55.80670738220215
4,0,Left Hand,81,-101.98367309570312,-52.862632751464844
4,0,Left Hand,82,-101.65133285522461,-50.24283790588379
4,0,Left Hand,83,-101.44125366210938,-47.40734100341797
4,0,Left Hand,84,-101.1447982788086,-44.90892791748047
4,0,Left Hand,85,-100.64818572998047,-42.62075233459473
4,0,Left Hand,86,-100.09448623657227,-40.15506553649902
4,0,Left Hand,87,-99.63093185424805,-37.68477821350098
4,0,Left Hand,88,-99.29727172851562,-35.47873878479004
4,0,Left Hand,89,-98.98457717895508,-33.48595428466797
4,0,Left Hand,90,-98.61185073852539,-31.30770206451416
4,0,Left Hand,91,-98.29541397094727,-29.06144142150879
4,0,Left Hand,92,-98.18636322021484,-26.5476713180542
4,0,Left Hand,93,-98.01406860351562,-23.442888259887695
4,0,Left Hand,94,-97.8237190246582,-20.631786346435547
4,0,Left Hand,95,-97.48140335083008,-18.55723762512207
4,0,Left Hand,96,-96.9561538696289,-16.70763874053955
4,0,Left Hand,97,-96.48981475830078,-14.662924766540527
4,0,Left Hand,98,-96.16342163085938,-12.25013780593872
4,0,Left Hand,99,-95.84481048583984,-10.215871334075928
4,0,Left Hand,100,-95.52634811401367,-8.37149977684021
4,0,Left Hand,101,-95.26047134399414,-6.514215707778931
4,0,Left Hand,102,-95.11211776733398,-4.862971305847168
4,0,Left Hand,103,-95.01706314086914,-2.5627687573432922
4,0,Left Hand,104,-94.79668426513672,-0.5836571455001831
4,0,Left Hand,105,-94.56226348876953,1.3849950432777405
4,0,Left Hand,106,-94.4109992980957,3.1868767738342285
4,0,Left Hand,107,-94.19287490844727,5.528601884841919
4,0,Left Hand,108,-93.84710693359375,7.60653281211853
4,0,Left Hand,109,-93.4061279296875,9.398809432983398
4,0,Left Hand,110,-93.0491828918457,11.13453722000122
4,0,Left Hand,111,-92.82588577270508,13.030128955841064
4,0,Left Hand,112,-92.64080047607422,14.904459953308105
