subject,class_idx,class_name,epoch,critic_loss,generator_loss
9,0,Left Hand,1,-4.064618349075317,1.3821086883544922
9,0,Left Hand,2,-41.861281394958496,2.476472854614258
9,0,Left Hand,3,-109.53448486328125,-5.526847064495087
9,0,Left Hand,4,-184.91031646728516,-30.51414394378662
9,0,Left Hand,5,-251.08220672607422,-70.18258285522461
9,0,Left Hand,6,-298.10353088378906,-115.0701904296875
9,0,Left Hand,7,-327.0028839111328,-156.94174194335938
9,0,Left Hand,8,-344.48829650878906,-192.89037322998047
9,0,Left Hand,9,-353.2853546142578,-221.88772583007812
9,0,Left Hand,10,-354.98631286621094,-244.551025390625
9,0,Left Hand,11,-351.7320251464844,-261.6639099121094
9,0,Left Hand,12,-345.494384765625,-275.2371826171875
9,0,Left Hand,13,-338.44606018066406,-286.71014404296875
9,0,Left Hand,14,-329.9867706298828,-294.50767517089844
9,0,Left Hand,15,-321.8306427001953,-301.1517333984375
9,0,Left Hand,16,-313.26947021484375,-305.0937042236328
9,0,Left Hand,17,-304.54066467285156,-307.30641174316406
9,0,Left Hand,18,-296.14271545410156,-308.4922790527344
9,0,Left Hand,19,-287.7353515625,-307.6866760253906
9,0,Left Hand,20,-279.6913604736328,-306.9686737060547
9,0,Left Hand,21,-272.1162567138672,-306.1442108154297
9,0,Left Hand,22,-264.5550231933594,-303.47467041015625
9,0,Left Hand,23,-257.02503204345703,-299.6641845703125
9,0,Left Hand,24,-249.92591857910156,-297.1293487548828
9,0,Left Hand,25,-243.17781829833984,-294.0102081298828
9,0,Left Hand,26,-236.49919891357422,-290.1094055175781
9,0,Left Hand,27,-230.13871002197266,-286.6315155029297
9,0,Left Hand,28,-223.9962158203125,-282.1584014892578
9,0,Left Hand,29,-218.14340209960938,-279.2201385498047
9,0,Left Hand,30,-212.63478088378906,-275.2803192138672
9,0,Left Hand,31,-207.21517944335938,-271.9434814453125
9,0,Left Hand,32,-202.06167602539062,-267.07386779785156
9,0,Left Hand,33,-196.96730041503906,-262.622314453125
9,0,Left Hand,34,-192.05477905273438,-257.95457458496094
9,0,Left Hand,35,-187.38778686523438,-254.62734985351562
9,0,Left Hand,36,-182.9541244506836,-251.04006958007812
9,0,Left Hand,37,-178.754638671875,-247.7081298828125
9,0,Left Hand,38,-174.75580596923828,-243.5263671875
9,0,Left Hand,39,-170.76614379882812,-239.06797790527344
9,0,Left Hand,40,-166.98477172851562,-235.27185821533203
9,0,Left Hand,41,-163.3891143798828,-231.0622100830078
9,0,Left Hand,42,-159.99624633789062,-228.0895538330078
9,0,Left Hand,43,-156.7574920654297,-224.86177825927734
9,0,Left Hand,44,-153.59510040283203,-220.79554748535156
9,0,Left Hand,45,-150.5044708251953,-217.17559814453125
9,0,Left Hand,46,-147.63971710205078,-212.89310455322266
9,0,Left Hand,47,-144.93336486816406,-209.46817779541016
9,0,Left Hand,48,-142.28591918945312,-205.19344329833984
9,0,Left Hand,49,-139.7347412109375,-201.86759185791016
9,0,Left Hand,50,-137.3616485595703,-197.21853637695312
9,0,Left Hand,51,-135.18379974365234,-193.81951904296875
9,0,Left Hand,52,-133.0058364868164,-189.90249633789062
9,0,Left Hand,53,-130.94964599609375,-186.8847885131836
9,0,Left Hand,54,-128.99757385253906,-182.8844451904297
9,0,Left Hand,55,-127.17240142822266,-178.36810302734375
9,0,Left Hand,56,-125.49956512451172,-174.78089904785156
9,0,Left Hand,57,-123.78028869628906,-171.15801239013672
9,0,Left Hand,58,-122.0596809387207,-168.0946807861328
9,0,Left Hand,59,-120.31611251831055,-164.9817886352539
9,0,Left Hand,60,-118.6079216003418,-161.8022918701172
9,0,Left Hand,61,-117.02505874633789,-159.39576721191406
9,0,Left Hand,62,-115.55450820922852,-155.9814682006836
9,0,Left Hand,63,-114.15008544921875,-152.97217559814453
9,0,Left Hand,64,-112.82366561889648,-150.24337005615234
9,0,Left Hand,65,-111.55356216430664,-147.0243148803711
9,0,Left Hand,66,-110.34138870239258,-144.25938415527344
9,0,Left Hand,67,-109.21492767333984,-140.21100616455078
9,0,Left Hand,68,-108.1149673461914,-136.35790252685547
9,0,Left Hand,69,-107.0440902709961,-132.68994903564453
9,0,Left Hand,70,-105.94892883300781,-129.64754486083984
9,0,Left Hand,71,-104.88833999633789,-126.6489143371582
9,0,Left Hand,72,-103.93578338623047,-124.13212966918945
9,0,Left Hand,73,-103.04729080200195,-121.21267700195312
9,0,Left Hand,74,-102.21449279785156,-117.55882263183594
9,0,Left Hand,75,-101.3563232421875,-114.69574737548828
9,0,Left Hand,76,-100.53831100463867,-110.95807647705078
9,0,Left Hand,77,-99.78800582885742,-108.41573333740234
9,0,Left Hand,78,-98.99141311645508,-105.74059677124023
9,0,Left Hand,79,-98.22492218017578,-102.98355102539062
9,0,Left Hand,80,-97.5027847290039,-100.01955795288086
9,0,Left Hand,81,-96.81624984741211,-97.64200592041016
9,0,Left Hand,82,-96.18528366088867,-94.85996627807617
9,0,Left Hand,83,-95.51641464233398,-92.26563262939453
9,0,Left Hand,84,-94.83755874633789,-89.7863540649414
9,0,Left Hand,85,-94.27276229858398,-86.99134063720703
9,0,Left Hand,86,-93.76248550415039,-83.5208854675293
9,0,Left Hand,87,-93.23385620117188,-80.79621124267578
9,0,Left Hand,88,-92.72018432617188,-77.37179183959961
9,0,Left Hand,89,-92.20137405395508,-74.79142379760742
9,0,Left Hand,90,-91.68899536132812,-72.64412307739258
9,0,Left Hand,91,-91.2161979675293,-69.81006240844727
9,0,Left Hand,92,-90.79159545898438,-67.23900985717773
9,0,Left Hand,93,-90.3880729675293,-64.97567749023438
9,0,Left Hand,94,-90.00226974487305,-62.17176055908203
9,0,Left Hand,95,-89.63518905639648,-59.63143730163574
9,0,Left Hand,96,-89.28709030151367,-56.746402740478516
9,0,Left Hand,97,-88.95800399780273,-53.75820350646973
9,0,Left Hand,98,-88.59810638427734,-51.00058937072754
9,0,Left Hand,99,-88.1595573425293,-48.558305740356445
9,0,Left Hand,100,-87.69755554199219,-46.469533920288086
9,0,Left Hand,101,-87.29845809936523,-44.52399444580078
9,0,Left Hand,102,-87.01644134521484,-42.45681953430176
9,0,Left Hand,103,-86.79705047607422,-40.15531921386719
9,0,Left Hand,104,-86.57660293579102,-37.245710372924805
9,0,Left Hand,105,-86.28718566894531,-34.28549575805664
9,0,Left Hand,106,-85.96640014648438,-31.357913970947266
9,0,Left Hand,107,-85.61911010742188,-29.050236701965332
9,0,Left Hand,108,-85.23077392578125,-27.435723304748535
9,0,Left Hand,109,-84.89695739746094,-25.956189155578613
9,0,Left Hand,110,-84.63199615478516,-24.30801486968994
9,0,Left Hand,111,-84.4021224975586,-22.40427875518799
9,0,Left Hand,112,-84.06802749633789,-20.461312294006348
9,0,Left Hand,113,-83.69259643554688,-18.479434967041016
9,0,Left Hand,114,-83.39317321777344,-16.42420768737793
9,0,Left Hand,115,-83.16493606567383,-14.371588230133057
9,0,Left Hand,116,-82.95570373535156,-12.519853591918945
9,0,Left Hand,117,-82.7483901977539,-9.738900184631348
9,0,Left Hand,118,-82.47103881835938,-7.632225275039673
9,0,Left Hand,119,-82.13794708251953,-5.306501626968384
9,0,Left Hand,120,-81.82898712158203,-3.216120958328247
9,0,Left Hand,121,-81.55729675292969,-1.222316563129425
9,0,Left Hand,122,-81.32931900024414,0.9888045787811279
9,0,Left Hand,123,-81.1392936706543,3.198171377182007
9,0,Left Hand,124,-80.96572875976562,5.026713609695435
9,0,Left Hand,125,-80.77275085449219,7.088949918746948
9,0,Left Hand,126,-80.58821105957031,9.050433158874512
9,0,Left Hand,127,-80.40811157226562,11.23229169845581
9,0,Left Hand,128,-80.22997283935547,13.302536010742188
9,0,Left Hand,129,-80.0745620727539,15.242010116577148
9,0,Left Hand,130,-79.92834091186523,16.73885726928711
9,0,Left Hand,131,-79.74690246582031,18.939796447753906
9,0,Left Hand,132,-79.54472351074219,20.552091598510742
9,0,Left Hand,133,-79.31023406982422,22.764278411865234
9,0,Left Hand,134,-79.05083847045898,24.58705711364746
9,0,Left Hand,135,-78.80953216552734,25.70292854309082
9,0,Left Hand,136,-78.65436553955078,27.230552673339844
9,0,Left Hand,137,-78.58493423461914,29.679500579833984
9,0,Left Hand,138,-78.5429573059082,31.861005783081055
9,0,Left Hand,139,-78.48206329345703,33.93235206604004
9,0,Left Hand,140,-78.34888076782227,36.047014236450195
9,0,Left Hand,141,-78.13616180419922,37.7547492980957
9,0,Left Hand,142,-77.95772933959961,39.53107261657715
9,0,Left Hand,143,-77.83164596557617,40.979658126831055
9,0,Left Hand,144,-77.63498306274414,42.80387496948242
9,0,Left Hand,145,-77.4114761352539,44.57288932800293
9,0,Left Hand,146,-77.20201110839844,46.38876914978027
9,0,Left Hand,147,-77.06128311157227,47.927772521972656
9,0,Left Hand,148,-76.98118209838867,49.43194007873535
9,0,Left Hand,149,-76.92344284057617,51.37322425842285
9,0,Left Hand,150,-76.82650756835938,53.39415740966797
9,0,Left Hand,151,-76.74408340454102,55.63788032531738
9,0,Left Hand,152,-76.67766571044922,57.32836723327637
9,0,Left Hand,153,-76.57355117797852,59.67015266418457
9,0,Left Hand,154,-76.4964714050293,61.53840446472168
9,0,Left Hand,155,-76.33539581298828,63.2889404296875
9,0,Left Hand,156,-76.13618469238281,64.78712463378906
9,0,Left Hand,157,-75.98519134521484,66.0837631225586
9,0,Left Hand,158,-75.91096878051758,67.91217041015625
9,0,Left Hand,159,-75.8509521484375,69.4650764465332
9,0,Left Hand,160,-75.71782302856445,71.24217224121094
9,0,Left Hand,161,-75.58946990966797,73.02902603149414
9,0,Left Hand,162,-75.47383880615234,74.83061218261719
9,0,Left Hand,163,-75.34284210205078,76.54911422729492
9,0,Left Hand,164,-75.19520950317383,78.26681137084961
9,0,Left Hand,165,-75.0948371887207,79.86606216430664
9,0,Left Hand,166,-75.03848266601562,81.63745880126953
9,0,Left Hand,167,-75.02339553833008,83.54631423950195
9,0,Left Hand,168,-75.04991149902344,85.6447868347168
9,0,Left Hand,169,-75.06413650512695,87.61705017089844
9,0,Left Hand,170,-75.03862762451172,89.72307586669922
9,0,Left Hand,171,-75.01530075073242,91.2808837890625
9,0,Left Hand,172,-74.98668670654297,93.23445129394531
9,0,Left Hand,173,-74.92471313476562,95.05329513549805
9,0,Left Hand,174,-74.79005432128906,96.87372207641602
9,0,Left Hand,175,-74.66125106811523,98.7053108215332
9,0,Left Hand,176,-74.53339767456055,100.25368881225586
9,0,Left Hand,177,-74.41751861572266,101.91254425048828
9,0,Left Hand,178,-74.33891296386719,103.4657974243164
9,0,Left Hand,179,-74.25934600830078,105.16130828857422
9,0,Left Hand,180,-74.21668243408203,106.97121810913086
9,0,Left Hand,181,-74.18374633789062,108.74103546142578
9,0,Left Hand,182,-74.13656234741211,110.21976470947266
9,0,Left Hand,183,-74.08271408081055,112.27515029907227
9,0,Left Hand,184,-74.03010559082031,113.95637130737305
9,0,Left Hand,185,-73.93732452392578,115.72326278686523
9,0,Left Hand,186,-73.84556579589844,117.48605728149414
9,0,Left Hand,187,-73.82837295532227,119.44160079956055
9,0,Left Hand,188,-73.83853149414062,121.36255264282227
9,0,Left Hand,189,-73.83363342285156,123.16116333007812
9,0,Left Hand,190,-73.8215103149414,124.99327087402344
9,0,Left Hand,191,-73.8332633972168,126.9466781616211
9,0,Left Hand,192,-73.80492782592773,129.02277374267578
9,0,Left Hand,193,-73.74132919311523,131.0713882446289
9,0,Left Hand,194,-73.69728088378906,133.0107421875
9,0,Left Hand,195,-73.64318466186523,135.0815200805664
9,0,Left Hand,196,-73.59272384643555,136.70134735107422
9,0,Left Hand,197,-73.57815551757812,138.47689056396484
9,0,Left Hand,198,-73.56876754760742,140.07586669921875
9,0,Left Hand,199,-73.52779006958008,141.91558837890625
9,0,Left Hand,200,-73.50519561767578,143.7973861694336
9,0,Left Hand,201,-73.50253295898438,145.93650817871094
9,0,Left Hand,202,-73.5311393737793,147.50768280029297
9,0,Left Hand,203,-73.52264022827148,149.09146881103516
9,0,Left Hand,204,-73.49206924438477,151.08049774169922
9,0,Left Hand,205,-73.46088790893555,152.8543701171875
9,0,Left Hand,206,-73.47230529785156,154.7432403564453
9,0,Left Hand,207,-73.50102615356445,156.83696746826172
9,0,Left Hand,208,-73.50434494018555,158.7251968383789
9,0,Left Hand,209,-73.4956169128418,160.53411865234375
9,0,Left Hand,210,-73.47027587890625,162.3385238647461
9,0,Left Hand,211,-73.43981552124023,164.0873031616211
9,0,Left Hand,212,-73.51938247680664,165.9144744873047
9,0,Left Hand,213,-73.59107208251953,167.80921173095703
9,0,Left Hand,214,-73.57954025268555,169.48785400390625
9,0,Left Hand,215,-73.6290397644043,171.10228729248047
9,0,Left Hand,216,-73.70565032958984,173.1135025024414
9,0,Left Hand,217,-73.66085052490234,175.08944702148438
9,0,Left Hand,218,-73.62028503417969,176.64144897460938
9,0,Left Hand,219,-73.62850189208984,178.4571304321289
9,0,Left Hand,220,-73.60956192016602,180.4556121826172
9,0,Left Hand,221,-73.56914520263672,182.34514617919922
9,0,Left Hand,222,-73.52150344848633,183.74900817871094
9,0,Left Hand,223,-73.44852447509766,185.69664764404297
9,0,Left Hand,224,-73.44574356079102,187.49267578125
9,0,Left Hand,225,-73.44483184814453,189.22954559326172
9,0,Left Hand,226,-73.43458557128906,191.05279541015625
9,0,Left Hand,227,-73.4793472290039,192.97492218017578
9,0,Left Hand,228,-73.51953506469727,194.7908935546875
9,0,Left Hand,229,-73.51891326904297,196.62364959716797
9,0,Left Hand,230,-73.48789978027344,198.21295928955078
9,0,Left Hand,231,-73.50392150878906,199.82830047607422
9,0,Left Hand,232,-73.57449722290039,201.50596618652344
9,0,Left Hand,233,-73.63315963745117,203.05683135986328
9,0,Left Hand,234,-73.59058380126953,204.78158569335938
9,0,Left Hand,235,-73.63330841064453,206.387451171875
9,0,Left Hand,236,-73.65366744995117,207.98229217529297
9,0,Left Hand,237,-73.65206909179688,209.75506591796875
9,0,Left Hand,238,-73.68140411376953,211.3149871826172
9,0,Left Hand,239,-73.68873596191406,213.07838439941406
9,0,Left Hand,240,-73.65226745605469,215.00140380859375
9,0,Left Hand,241,-73.59291076660156,216.91503143310547
9,0,Left Hand,242,-73.57002639770508,218.19405364990234
9,0,Left Hand,243,-73.55990982055664,219.61588287353516
9,0,Left Hand,244,-73.57662963867188,221.20010375976562
9,0,Left Hand,245,-73.57229995727539,222.94725036621094
9,0,Left Hand,246,-73.52584838867188,224.45455932617188
9,0,Left Hand,247,-73.47249984741211,225.9284896850586
9,0,Left Hand,248,-73.49067306518555,227.41118621826172
9,0,Left Hand,249,-73.53486633300781,229.0476837158203
9,0,Left Hand,250,-73.51898193359375,230.60975646972656
9,0,Left Hand,251,-73.42887115478516,231.98184204101562
9,0,Left Hand,252,-73.39663696289062,233.142578125
