subject,class_idx,class_name,epoch,critic_loss,generator_loss
1,0,Left Hand,1,-31.143171501159667,1.5959054589271546
1,0,Left Hand,2,-172.191357421875,-34.59337491989136
1,0,Left Hand,3,-275.5419555664063,-120.9943130493164
1,0,Left Hand,4,-302.06419067382814,-185.3400848388672
1,0,Left Hand,5,-294.11420288085935,-220.3470031738281
1,0,Left Hand,6,-276.9662109375,-238.66943359375
1,0,Left Hand,7,-258.67408142089846,-246.82199401855468
1,0,Left Hand,8,-240.2708984375,-245.9961181640625
1,0,Left Hand,9,-223.3868835449219,-241.17977600097657
1,0,Left Hand,10,-208.28057861328125,-234.32015991210938
1,0,Left Hand,11,-194.66962280273438,-226.63435974121094
1,0,Left Hand,12,-182.50398864746094,-217.56278381347656
1,0,Left Hand,13,-172.3905517578125,-208.45254821777343
1,0,Left Hand,14,-163.13580932617188,-199.0152587890625
1,0,Left Hand,15,-155.23168334960937,-189.12554931640625
1,0,Left Hand,16,-148.69777221679686,-178.33596801757812
1,0,Left Hand,17,-143.13660888671876,-168.25515441894532
1,0,Left Hand,18,-138.55944213867187,-158.66665649414062
1,0,Left Hand,19,-134.5517120361328,-148.5761505126953
1,0,Left Hand,20,-130.85867004394532,-138.22019958496094
1,0,Left Hand,21,-127.67939147949218,-128.577978515625
1,0,Left Hand,22,-124.85602111816407,-118.95333862304688
1,0,Left Hand,23,-122.15890502929688,-110.76462860107422
1,0,Left Hand,24,-120.82978515625,-103.67749938964843
1,0,Left Hand,25,-118.0575164794922,-97.64393920898438
1,0,Left Hand,26,-115.3604507446289,-89.48377990722656
1,0,Left Hand,27,-114.09590606689453,-80.59446258544922
1,0,Left Hand,28,-113.52163238525391,-71.66729736328125
1,0,Left Hand,29,-111.10848236083984,-65.93368377685547
1,0,Left Hand,30,-109.37296447753906,-60.7823989868164
1,0,Left Hand,31,-109.86424865722657,-54.825165557861325
1,0,Left Hand,32,-108.18680114746094,-49.45296936035156
1,0,Left Hand,33,-105.93213500976563,-43.811729431152344
1,0,Left Hand,34,-105.20493621826172,-37.290156555175784
1,0,Left Hand,35,-105.27418823242188,-29.915773391723633
1,0,Left Hand,36,-104.2158935546875,-22.999123764038085
1,0,Left Hand,37,-103.42107696533203,-16.737619400024414
1,0,Left Hand,38,-103.11248168945312,-10.352796840667725
1,0,Left Hand,39,-102.50743865966797,-3.6623935461044312
1,0,Left Hand,40,-102.1174102783203,1.8439791098237037
1,0,Left Hand,41,-102.47365264892578,7.125306797027588
1,0,Left Hand,42,-101.58872833251954,12.443002510070801
1,0,Left Hand,43,-101.14593658447265,17.97200927734375
1,0,Left Hand,44,-101.2247085571289,23.68253974914551
1,0,Left Hand,45,-100.92178649902344,28.95957260131836
1,0,Left Hand,46,-100.87692718505859,34.78342895507812
1,0,Left Hand,47,-100.6494369506836,39.99883499145508
1,0,Left Hand,48,-100.77541961669922,44.139112854003905
1,0,Left Hand,49,-100.55419311523437,48.58905715942383
1,0,Left Hand,50,-100.16981658935546,53.5076171875
1,0,Left Hand,51,-99.68844604492188,57.903418731689456
1,0,Left Hand,52,-99.70437774658203,62.13902282714844
1,0,Left Hand,53,-99.40024261474609,65.79636993408204
1,0,Left Hand,54,-98.9671615600586,70.1970428466797
1,0,Left Hand,55,-98.93826141357422,74.51040954589844
1,0,Left Hand,56,-99.01446838378907,78.97948150634765
1,0,Left Hand,57,-98.64940032958984,83.10887451171875
1,0,Left Hand,58,-98.66036376953124,87.10785064697265
1,0,Left Hand,59,-98.81710205078124,90.59766082763672
1,0,Left Hand,60,-98.7350845336914,94.28620910644531
1,0,Left Hand,61,-98.86592254638671,97.89930267333985
1,0,Left Hand,62,-98.58542327880859,101.37041015625
1,0,Left Hand,63,-98.00458526611328,104.56445007324218
1,0,Left Hand,64,-97.93601531982422,108.95190124511718
1,0,Left Hand,65,-98.02212066650391,112.59461059570313
