loss,accuracy,val_loss,val_accuracy,lr
16.253705978393555,0.6509090662002563,15.674349784851074,0.7101449370384216,1e-04
15.26180362701416,0.8290908932685852,15.405689239501953,0.7246376872062683,1e-04
14.805375099182129,0.8963636159896851,15.084405899047852,0.782608687877655,1e-04
14.506636619567871,0.9054545164108276,14.76526927947998,0.7971014380455017,1e-04
14.108602523803711,0.9545454382896423,14.438324928283691,0.7463768124580383,1e-04
13.797080993652344,0.9654545187950134,14.190960884094238,0.7246376872062683,1e-04
13.463095664978027,0.9745454788208008,13.803237915039062,0.7536231875419617,1e-04
13.134705543518066,0.9818181991577148,13.533016204833984,0.7463768124580383,1e-04
12.80785846710205,0.9890909194946289,13.196829795837402,0.7463768124580383,1e-04
12.471443176269531,0.9872727394104004,12.809503555297852,0.7971014380455017,1e-04
12.14709186553955,0.9890909194946289,12.472555160522461,0.7536231875419617,1e-04
11.804391860961914,0.9945454597473145,12.23477554321289,0.7898550629615784,1e-04
11.474997520446777,0.996363639831543,11.803115844726562,0.7536231875419617,1e-04
11.144085884094238,0.996363639831543,11.538565635681152,0.7463768124580383,1e-04
10.814603805541992,1.0,11.195250511169434,0.7536231875419617,1e-04
10.495614051818848,0.9927272796630859,10.784187316894531,0.7753623127937317,1e-04
10.203254699707031,0.9872727394104004,10.471261978149414,0.782608687877655,1e-04
9.86859130859375,0.9945454597473145,10.1725492477417,0.760869562625885,1e-04
9.56783676147461,0.9927272796630859,9.897704124450684,0.782608687877655,1e-04
9.261951446533203,1.0,9.609570503234863,0.7753623127937317,1e-04
8.963247299194336,1.0,9.332749366760254,0.7681159377098083,1e-04
8.68017864227295,0.996363639831543,9.026717185974121,0.782608687877655,1e-04
8.405684471130371,0.9909090995788574,8.952630996704102,0.7318840622901917,1e-04
8.137604713439941,0.9945454597473145,8.624654769897461,0.7463768124580383,1e-04
7.869365215301514,0.9945454597473145,8.288714408874512,0.782608687877655,1e-04
7.6506266593933105,0.9745454788208008,8.112188339233398,0.739130437374115,1e-04
7.385739803314209,0.9890909194946289,7.9987335205078125,0.760869562625885,1e-04
7.176608085632324,0.9854545593261719,7.647943019866943,0.7971014380455017,1e-04
6.927727699279785,0.9872727394104004,7.31379508972168,0.7753623127937317,1e-04
6.7037034034729,0.9927272796630859,7.043094635009766,0.8188405632972717,1e-04
6.485739231109619,0.9909090995788574,7.027326583862305,0.739130437374115,1e-04
6.300382614135742,0.9890909194946289,6.735485553741455,0.7536231875419617,1e-04
6.075908660888672,0.9945454597473145,6.435162544250488,0.8478260636329651,1e-04
5.8722124099731445,0.9981818199157715,6.257684707641602,0.8405796885490417,1e-04
5.676290988922119,0.9981818199157715,6.0615129470825195,0.8623188138008118,1e-04
5.485501289367676,0.9981818199157715,5.8683671951293945,0.8260869383811951,1e-04
5.297325611114502,0.9981818199157715,5.663717269897461,0.8188405632972717,1e-04
5.114319324493408,1.0,5.483137607574463,0.8405796885490417,1e-04
4.938119411468506,1.0,5.3019256591796875,0.8405796885490417,1e-04
4.780083656311035,0.996363639831543,5.126895904541016,0.8405796885490417,1e-04
4.609138011932373,0.996363639831543,4.986117839813232,0.8188405632972717,1e-04
4.447859287261963,1.0,4.828830242156982,0.8333333134651184,1e-04
4.292689323425293,1.0,4.676565647125244,0.8333333134651184,1e-04
4.145471096038818,0.996363639831543,4.5617852210998535,0.8188405632972717,1e-04
3.996689558029175,1.0,4.392361164093018,0.8188405632972717,1e-04
3.8540127277374268,1.0,4.224490642547607,0.8333333134651184,1e-04
3.7163150310516357,1.0,4.086856365203857,0.8333333134651184,1e-04
3.5822877883911133,1.0,3.955277681350708,0.8405796885490417,1e-04
3.4543447494506836,1.0,3.8254005908966064,0.8405796885490417,1e-04
3.330155372619629,1.0,3.695195436477661,0.8260869383811951,1e-04
3.210258960723877,1.0,3.5709853172302246,0.8405796885490417,1e-04
3.0928447246551514,1.0,3.4527292251586914,0.8478260636329651,1e-04
2.9816737174987793,1.0,3.347368001937866,0.8405796885490417,1e-04
2.872668504714966,1.0,3.2359910011291504,0.8260869383811951,1e-04
2.7677969932556152,1.0,3.1262173652648926,0.8260869383811951,1e-04
2.6670074462890625,1.0,3.0204665660858154,0.8188405632972717,1e-04
2.5696425437927246,1.0,2.920318365097046,0.8188405632972717,1e-04
2.4754879474639893,1.0,2.836397647857666,0.8188405632972717,1e-04
2.384577989578247,1.0,2.7483277320861816,0.8333333134651184,1e-04
2.2978761196136475,1.0,2.659254550933838,0.8188405632972717,1e-04
2.2133162021636963,1.0,2.579169988632202,0.8260869383811951,1e-04
2.132448196411133,1.0,2.500938653945923,0.8260869383811951,1e-04
2.055687665939331,1.0,2.448406934738159,0.8260869383811951,1e-04
1.9833590984344482,1.0,2.3655686378479004,0.8405796885490417,1e-04
1.9127066135406494,1.0,2.2708823680877686,0.8550724387168884,1e-04
1.8483988046646118,0.9981818199157715,2.2193715572357178,0.8405796885490417,1e-04
1.780683159828186,1.0,2.1850993633270264,0.8260869383811951,1e-04
1.7237201929092407,0.9981818199157715,2.2019543647766113,0.8115941882133484,1e-04
1.6827149391174316,0.9927272796630859,2.18669056892395,0.7971014380455017,1e-04
1.6517728567123413,0.9872727394104004,2.5395007133483887,0.7246376872062683,1e-04
