subject,acc_nosyn,acc_syn,f1_nosyn,f1_syn,prec_nosyn,prec_syn,rec_nosyn,rec_syn
1,0.25862068965517243,0.782608695652174,0.12941176470588237,0.778677973472494,0.1875,0.8022737131289762,0.26666666666666666,0.7838235294117646
2,0.3103448275862069,0.7608695652173914,0.3059328921397887,0.760031149161584,0.30463980463980467,0.7655695611577964,0.30952380952380953,0.7619747899159663
3,0.27586206896551724,0.7246376811594203,0.16405228758169932,0.7346059113300492,0.3785377358490566,0.8194696607740086,0.26904761904761904,0.7258403361344538
4,0.2413793103448276,0.7898550724637681,0.09859154929577464,0.7893600751809707,0.06140350877192982,0.7926864801864802,0.25,0.7899159663865546
5,0.29310344827586204,0.7463768115942029,0.1602941176470588,0.7506105138431305,0.1707547169811321,0.7728659624303907,0.2833333333333333,0.7470588235294118
6,0.2413793103448276,0.7246376811594203,0.09859154929577464,0.7272578360367089,0.06140350877192982,0.75255148005148,0.25,0.7243697478991596
7,0.3275862068965517,0.7391304347826086,0.2482065553494125,0.7391442095694805,0.25515873015873014,0.7427453818582851,0.33095238095238094,0.7397058823529412
8,0.13793103448275862,0.7536231884057971,0.09069148936170213,0.7530235389610389,0.06790865384615385,0.7618807359885948,0.1369047619047619,0.7548319327731092
9,0.5862068965517241,0.7898550724637681,0.5650517598343685,0.7943751079167746,0.587593984962406,0.8104260621705277,0.594047619047619,0.7899159663865546
